possession_id,global_id,team_id,start_frame_proc,confirmed_frame_proc,end_frame_proc,evidence_frames,min_distance_m,max_distance_m,mean_distance_m,start_ball_x_m,start_ball_y_m,end_ball_x_m,end_ball_y_m
0,23,team_1,2,4,35,34,0.9842382440417615,1.4870093473261208,1.2235693343043312,20.129720826940954,9.705894909798925,22.073226118297775,8.83399770324139
1,23,team_1,37,39,42,6,1.3630248284512338,1.449428718052841,1.3980442743301476,22.07473088452803,8.871956775476725,22.45594633024265,8.692640279986309
2,3,team_1,49,51,51,3,0.9090786473268245,1.0188311279936455,0.9634173512327934,22.97792480246137,8.303866353887718,23.123683740507257,8.332167411021436
3,3,team_1,66,68,68,3,1.0151521355956916,1.0935959796832875,1.053006422816267,25.133053206658147,6.834112408381926,25.35311321351731,6.713853864660459
4,18,team_0,100,102,103,4,1.2941063026491344,1.4856502431693146,1.3929576864202962,27.924854117026236,5.223098378130667,28.070868299551726,5.227306630105345
5,10,team_0,104,106,110,7,1.019205253733156,1.3540249387748193,1.1850492864072204,28.15654811379569,5.1793441750463005,28.437989526703053,5.051745663677077
6,18,team_0,111,113,124,14,0.6848324435700031,1.381289042609535,0.9762068497342788,28.523408584609456,5.040771704853871,28.602166850722888,5.306120791302996
7,10,team_0,130,132,137,8,0.7521946911493763,1.0001098810548232,0.8837688624500738,28.68245357036135,5.164005858494309,28.74780591241831,5.361635533285027
8,18,team_0,138,140,145,8,0.7312048699565669,1.0757529577361402,0.9231068167060608,28.689740246016786,5.420927721979075,28.6866765152496,5.694665904838871
9,10,team_0,148,150,154,7,0.44979039239449314,0.6610309425811751,0.5330726889905334,28.698627925221384,5.7340690929436,28.744927124278377,5.925914959746232
10,18,team_0,155,157,157,3,0.3029487736395417,0.39170617586703865,0.35029855019215006,28.7314485881336,6.007844613386969,28.728649620040013,6.035909916188085
11,3,team_1,166,168,173,8,0.41425362325201626,1.3565287265801291,0.8201756467378956,27.52641999694913,7.160158055509853,26.518268102824575,8.083516733603588
12,20,team_0,238,240,279,42,0.47008131973166006,1.4642036997955143,0.6980084780226665,20.941205588723243,14.530214950395628,18.195364624890825,17.65915731844302
13,20,team_0,283,285,286,4,0.8705254101524631,0.9109131523304212,0.8846042485484578,18.068338503995864,17.66615036734288,18.00033396505263,17.710342279799665
14,20,team_0,299,301,321,23,0.7523893929532265,1.1297480422845436,0.9102255552725151,17.40147316238613,17.501528934960785,16.30651049023261,17.310143694570414
15,3,team_1,322,324,324,3,1.0049975748545692,1.1141409493777013,1.0591032316089009,16.26914554417294,17.33556541086664,16.137933386441045,17.349871030101337
16,20,team_0,325,327,332,8,0.779049175679869,0.9795112405312588,0.8240992450998393,16.0956555460085,17.391392882451033,15.722871533165529,17.265596064685916
17,3,team_1,338,340,341,4,0.45611272297889394,0.8862687567880155,0.6456846335554984,15.485981772873812,17.324072245332957,15.135390080650375,17.678704903199073
18,20,team_0,348,350,387,40,0.1906844847525943,1.098967121625453,0.8857224448986306,14.457513603938063,18.592718771769608,12.09125813409885,21.37003872276307
19,0,team_1,388,390,401,14,0.23419968995790555,0.5657297755598685,0.4449245298268946,12.048264688713092,21.36319387693569,12.033661451607014,21.468668119534104
20,0,team_1,405,407,416,12,0.07165512311095472,0.5128881313850363,0.25432145156722036,12.340586437775496,21.51283957240587,13.17266550177123,21.441827016544917
21,13,team_0,417,419,422,6,0.3948719652210421,0.4543054776749832,0.4128994543651581,13.227109546360852,21.45044709893798,13.438965321732322,21.464964831422595
22,0,team_1,423,425,428,6,0.40430235546674476,0.5867898609054396,0.45666168272775853,13.470603063866296,21.45324759054004,13.654789237775315,21.45491074872251
23,13,team_0,429,431,433,5,0.3891180013750061,0.4908717888795848,0.41535327934079225,13.707395590520003,21.462867028326105,13.821456457063839,21.478501228352286
24,0,team_1,434,436,436,3,0.1954959057907416,0.3950470098398166,0.26759955060996493,13.921075707051237,21.494724127165217,14.333138430712774,21.555137346210206
25,0,team_1,441,443,446,6,0.45930039738486683,0.6527505898494299,0.5474111979531088,15.44415395080264,21.493404279286956,16.203400264094086,21.292797548787824
26,0,team_1,766,768,788,23,0.6316371944705902,1.277065423793227,0.8573275382640233,13.663009470967047,12.94972738393368,14.864851241859258,12.914677425633643
27,22,team_0,796,798,798,3,0.8975128306865642,1.417180955563905,1.1668066674016517,14.560742946765227,13.372367916565327,14.229424467263009,13.245583296567082
28,22,team_0,800,802,804,5,1.191975803913596,1.452244824588761,1.3519386360197199,14.155487867577747,13.531522937694106,14.194378827061998,14.299918567582809
29,0,team_1,805,807,810,6,1.1888001996619737,1.4964752906521235,1.3852669705920138,14.060858941425172,14.34911232492951,13.846366877938683,14.92947722904524
30,0,team_1,815,817,817,3,1.4826687565709271,1.4950090633790554,1.4883439986862292,13.632265910937246,15.499522415332953,13.537537509124146,15.612035798585813
31,26,team_1,870,872,874,5,0.7584517439500861,1.2446880536594833,0.9392716025442371,10.786141891488422,19.563506976226947,10.65687731742201,19.826834020794927
