frame_proc,global_id,team_id,distance_m,ball_x_m,ball_y_m,player_x_m,player_y_m,ball_source
2,23,team_1,1.3924,20.129720826940954,9.705894909798925,19.525343723378867,10.960288424553745,observed
3,23,team_1,1.3739,20.093656817548727,9.588210679162126,19.536325896253864,10.844028998308737,observed
4,23,team_1,1.3899,20.160783583905438,9.504706689305717,19.697310681609466,10.815032338558897,observed
5,23,team_1,1.4066,20.33513623544046,9.542138776965585,19.91788637296646,10.88545935882172,observed
6,23,team_1,1.4218,20.33492509736944,9.451929624771733,19.92425712796106,10.81313804995611,observed
7,23,team_1,1.4091,20.397572490922304,9.416827461160839,20.008505751380348,10.771103183319077,observed
8,23,team_1,1.3892,20.45497495440843,9.376809480784624,20.089193381648084,10.716979167572958,observed
9,23,team_1,1.1943,20.506729824940063,9.473244887779137,20.176392332039086,10.620953377914098,observed
10,23,team_1,1.1201,20.559252973855738,9.454148426176223,20.24454123646506,10.529081213375743,observed
11,23,team_1,1.0979,20.57895168963833,9.451566212812645,20.26754493452798,10.504330516863204,observed
12,23,team_1,1.0835,20.623543594862458,9.496321252058413,20.367885554265722,10.549254751831947,observed
13,23,team_1,1.1525,20.665112312110676,9.446000999366163,20.50095757269376,10.586704807898364,observed
14,23,team_1,1.2021,20.712030235878217,9.392156483457507,20.63333734857086,10.591633385603668,observed
15,23,team_1,1.3267,20.744049131631197,9.222274410352185,20.707975018330714,10.548491896345832,observed
16,23,team_1,1.3633,20.763422527806554,9.280848670762607,20.74286186597613,10.644006072261103,observed
17,23,team_1,1.3212,20.847750282793275,9.277153008069773,20.770722791100315,10.596089753597129,observed
18,23,team_1,1.325,20.95373057202091,9.233354601792664,20.8089971101331,10.550462429238964,observed
19,23,team_1,1.1861,21.059686528516597,9.18588955467574,20.837200200599106,10.350978701070837,observed
20,23,team_1,1.0405,21.16666441906322,9.161112900991846,20.907627936520843,10.168874639200862,observed
21,23,team_1,0.9854,21.203003461949752,9.180734253050552,20.928820366237954,10.127194643182113,observed
22,23,team_1,0.9842,21.266925678736104,9.112431608320323,20.950021042548215,10.044255825969248,observed
23,23,team_1,1.012,21.339170794609213,9.076922228669428,21.03948635386381,10.043503404485149,observed
24,23,team_1,1.0793,21.419597357089714,9.079709921330364,21.110475678151804,10.113839039331499,observed
25,23,team_1,1.0644,21.504871339251956,9.116958566742824,21.1863821295508,10.132615744167504,observed
26,23,team_1,1.0588,21.527261212594947,9.026018847698284,21.20623057101838,10.034978479807613,observed
27,23,team_1,1.1257,21.579414482250822,8.996108012517249,21.264995320015778,10.076958228279272,observed
28,23,team_1,1.1287,21.649607044614907,9.014629459548345,21.32847473619091,10.096728869805077,observed
29,23,team_1,1.1579,21.718250471814073,9.01706061173822,21.415536092072156,10.134656023899854,observed
30,23,team_1,1.1875,21.78599002937237,9.043320484592464,21.519743600455744,10.20056310543711,observed
31,23,team_1,1.2065,21.80873118947656,9.003049460392134,21.551103452357534,10.181759313049634,observed
32,23,team_1,1.2125,21.862211910249457,9.054127414566894,21.60757022639632,10.239601133915821,observed
33,23,team_1,1.2584,21.92640674363896,9.079112657447821,21.67936982658849,10.313008830580026,observed
34,23,team_1,1.457,21.988029952650134,8.903224379757186,21.754883856633324,10.34142335505314,observed
35,23,team_1,1.487,22.073226118297775,8.83399770324139,21.830471538820873,10.301058374508345,observed
37,23,team_1,1.363,22.07473088452803,8.871956775476725,21.840865461567176,10.214768618929805,observed
38,23,team_1,1.3984,22.12034974858089,8.871255958407621,21.869497053602203,10.246978999847641,observed
39,23,team_1,1.4494,22.23243431551448,8.803724954370198,21.990970421669445,10.232899120343504,observed
40,23,team_1,1.3911,22.390348965750654,8.782122545395794,22.22046894838325,10.162833769635787,observed
41,23,team_1,1.3895,22.33202705635794,8.801848664718321,22.190784198680586,10.184111382477548,observed
42,23,team_1,1.3968,22.45594633024265,8.692640279986309,22.270371064327698,10.07708052559131,observed
49,3,team_1,1.0188,22.97792480246137,8.303866353887718,23.94752129659617,7.99097738647227,observed
50,3,team_1,0.9623,23.04480823103013,8.315330520110578,23.9480659286285,7.983324206190368,interpolated
51,3,team_1,0.9091,23.123683740507257,8.332167411021436,23.915397066893068,7.885385589716356,observed
66,3,team_1,1.0152,25.133053206658147,6.834112408381926,24.24255885679545,7.32150718806992,observed
67,3,team_1,1.0503,25.217188242922447,6.778997294014217,24.2660781844164,7.22448483793581,observed
68,3,team_1,1.0936,25.35311321351731,6.713853864660459,24.317747107779812,7.065946457410457,observed
100,18,team_0,1.4857,27.924854117026236,5.223098378130667,28.17766109640769,6.687081054327714,observed
101,18,team_0,1.467,27.96561651651877,5.277428904032297,28.202668235355002,6.725144272966168,observed
102,18,team_0,1.3251,28.009249349424667,5.25591878731364,28.2338487699753,6.561824951779863,observed
103,18,team_0,1.2941,28.070868299551726,5.227306630105345,28.22941219249493,6.511664429383501,observed
104,10,team_0,1.0192,28.15654811379569,5.1793441750463005,27.507622241182432,5.965266920034883,observed
105,10,team_0,1.0621,28.247492759106304,5.076617458262011,27.550563015481295,5.878136040203451,observed
