transition_id,from_global_id,to_global_id,from_team_id,to_team_id,release_frame_proc,receive_frame_proc,receive_confirmed_frame_proc,transfer_gap_frames,source_evidence_frames,receiver_evidence_frames,start_x_m,start_y_m,end_x_m,end_y_m,dx_m,dy_m,displacement_m,classification,release_time_seconds,receive_time_seconds
61,17,19,team_0,team_1,6757,6758,6760,0,5,12,20.531865990848686,13.312787265774988,20.53316299766421,13.368125774499436,0.0012970068155233605,0.05533850872444823,0.055,opponent_possession_change,225.233,225.267
62,19,17,team_1,team_0,6769,6801,6803,31,12,3,20.210929140418514,13.74271193518974,16.566532880280644,11.811989182239584,-3.6443962601378708,-1.9307227529501567,4.124,opponent_possession_change,225.633,226.7
63,18,20,team_0,team_0,7368,7410,7412,41,6,4,34.497662929953066,12.381377310197871,32.83864553546424,19.30206742798501,-1.6590173944888278,6.920690117787137,7.117,same_team_directed_transition,245.6,247.0
64,14,20,team_0,team_0,7725,7726,7728,0,13,4,29.258893784249064,15.597857409873777,29.243327545319886,15.697562363255212,-0.015566238929178411,0.09970495338143515,0.101,same_team_short_or_stationary_transition,257.5,257.533
65,20,14,team_0,team_0,7729,7730,7732,0,4,4,29.498474800653188,15.631026594586857,29.480648947203456,15.668175413560727,-0.01782585344973242,0.037148818973870235,0.041,same_team_short_or_stationary_transition,257.633,257.667
66,14,20,team_0,team_0,7733,7734,7736,0,4,8,29.40786793277415,15.912248903095122,29.425904706590227,15.892991028995334,0.018036773816078266,-0.019257874099787742,0.026,same_team_short_or_stationary_transition,257.767,257.8
67,20,5,team_0,team_0,7741,7742,7744,0,8,14,29.55159118674724,15.91269643766998,29.57876221313338,15.867019384954276,0.027171026386142216,-0.0456770527157051,0.053,same_team_short_or_stationary_transition,258.033,258.067
68,5,0,team_0,team_1,7770,7776,7778,5,12,6,29.57360560575615,15.704824315504935,29.940384117940866,15.836745276983383,0.366778512184716,0.131920961478448,0.39,opponent_possession_change,259.0,259.2
69,0,5,team_1,team_0,7781,7782,7784,0,6,17,29.844736086723504,16.15869817588828,29.83289039566407,16.22872161710216,-0.011845691059434671,0.07002344121388049,0.071,opponent_possession_change,259.367,259.4
70,5,1,team_0,team_1,7798,7813,7815,14,17,13,29.943162714698495,16.40137009720514,26.480302221476517,17.80666918364506,-3.462860493221978,1.4052990864399177,3.737,opponent_possession_change,259.933,260.433
71,19,14,team_1,team_0,8266,8267,8269,0,20,12,16.165145745222656,15.390943662160838,16.405870362166684,15.589854250550994,0.24072461694402847,0.19891058839015585,0.312,opponent_possession_change,275.533,275.567
72,14,19,team_0,team_1,8278,8290,8292,11,12,24,18.033090786090437,16.58688339158617,19.309568929508828,17.386360722658676,1.276478143418391,0.7994773310725058,1.506,opponent_possession_change,275.933,276.333
73,2,29,team_0,team_0,10970,10971,10973,0,4,31,1.813114022290833,9.743482227435605,1.8065710620369635,9.79789480236464,-0.006542960253869579,0.05441257492903517,0.055,same_team_short_or_stationary_transition,365.667,365.7
74,14,20,team_0,team_0,11119,11125,11127,5,22,35,22.46204882038486,17.1971439438952,22.138356919622865,17.50530470567744,-0.3236919007619967,0.30816076178223994,0.447,same_team_short_or_stationary_transition,370.633,370.833
75,20,1,team_0,team_1,11159,11164,11166,4,35,7,21.693319860767666,17.93318928955844,20.157648278382393,17.027915171929255,-1.5356715823852731,-0.9052741176291867,1.783,opponent_possession_change,371.967,372.133
76,11,19,team_1,team_1,11794,11802,11804,7,5,39,7.694585631342425,13.687021326455575,7.806958618436647,13.914626822940043,0.11237298709422205,0.22760549648446826,0.254,same_team_short_or_stationary_transition,393.133,393.4
77,19,0,team_1,team_1,12764,12791,12793,26,46,9,18.49338873104294,12.135587026790494,20.597037413584797,17.885396721274528,2.1036486825418557,5.749809694484034,6.123,same_team_directed_transition,425.467,426.367
78,1,23,team_1,team_1,12927,12928,12930,0,6,3,26.744232454314908,11.17070701416227,26.634813829958834,11.146597520269218,-0.10941862435607419,-0.024109493893051948,0.112,same_team_short_or_stationary_transition,430.9,430.933
79,23,1,team_1,team_1,12930,12931,12933,0,3,6,26.511183561180538,11.1176627151664,26.419580869546703,11.104203870503344,-0.09160269163383461,-0.013458844663055913,0.093,same_team_short_or_stationary_transition,431.0,431.033
80,1,5,team_1,team_0,12936,12968,12970,31,6,6,26.072712835533512,11.092360843406388,24.37573674411136,11.192998946029887,-1.696976091422151,0.10063810262349904,1.7,opponent_possession_change,431.2,432.267
81,5,6,team_0,team_1,12989,12990,12992,0,5,11,24.934482211331485,12.220453354657922,24.944534913889594,12.222593487223968,0.010052702558109416,0.002140132566045949,0.01,opponent_possession_change,432.967,433.0
82,6,14,team_1,team_0,13025,13057,13059,31,7,5,25.245876135331315,13.612164491547498,26.154312800776086,13.2429728295294,0.9084366654447713,-0.36919166201809794,0.981,opponent_possession_change,434.167,435.233
83,14,5,team_0,team_0,13061,13062,13064,0,5,3,26.31776553994037,13.188675227575512,26.296540618421837,13.102656282247755,-0.0212249215185345,-0.08601894532775667,0.089,same_team_short_or_stationary_transition,435.367,435.4
84,5,13,team_0,team_0,13075,13076,13078,0,4,3,25.97896872948939,12.344284286480022,25.967600259442,12.263731029592314,-0.011368470047390389,-0.08055325688770765,0.081,same_team_short_or_stationary_transition,435.833,435.867
85,13,5,team_0,team_0,13078,13082,13084,3,3,9,25.93293970929805,12.147878538237908,25.92197438543216,12.01139768349295,-0.010965323865889332,-0.13648085474495808,0.137,same_team_short_or_stationary_transition,435.933,436.067
86,5,3,team_0,team_1,13125,13128,13130,2,8,3,25.176339008483534,10.923115175803177,25.213735273242154,10.579046215982823,0.03739626475861968,-0.3440689598203548,0.346,opponent_possession_change,437.5,437.6
87,3,13,team_1,team_0,13130,13131,13133,0,3,10,25.16756535746605,10.880888085046706,25.198284135618643,10.782847518259318,0.030718778152593273,-0.09804056678738782,0.103,opponent_possession_change,437.667,437.7
88,13,5,team_0,team_0,13140,13143,13145,2,10,54,25.063619947831715,11.204268152215844,24.987584106944972,11.368235178015277,-0.07603584088674253,0.16396702579943323,0.181,same_team_short_or_stationary_transition,438.0,438.1
89,5,20,team_0,team_0,13212,13213,13215,0,4,10,23.076407201672662,12.595955663875534,23.033943179094265,12.616632518638273,-0.042464022578396765,0.020676854762738728,0.047,same_team_short_or_stationary_transition,440.4,440.433
90,20,0,team_0,team_1,13222,13249,13251,26,10,13,22.414073722795816,12.39537267170922,17.38587587474295,13.990781579833731,-5.028197848052866,1.5954089081245115,5.275,opponent_possession_change,440.733,441.633
91,0,1,team_1,team_1,13261,13262,13264,0,13,8,18.0765276165983,14.717328214267322,18.157833771143377,14.765096000907125,0.08130615454507506,0.04776778663980252,0.094,same_team_short_or_stationary_transition,442.033,442.067
92,1,20,team_1,team_0,13302,13303,13305,0,3,6,19.381580735628262,14.575475339139908,19.360160313022305,14.619084332814063,-0.021420422605956446,0.04360899367415527,0.049,opponent_possession_change,443.4,443.433
93,20,1,team_0,team_1,13317,13323,13325,5,7,14,19.25231247121839,14.430251382497353,19.28719943652604,14.739231678539154,0.03488696530765267,0.3089802960418009,0.311,opponent_possession_change,443.9,444.1
94,1,0,team_1,team_1,13336,13370,13372,33,14,8,18.843001968001634,14.297320886110693,16.68091931056428,12.441743272195314,-2.1620826574373524,-1.8555776139153792,2.849,same_team_directed_transition,444.533,445.667
95,0,19,team_1,team_1,13377,13382,13384,4,8,10,16.111520455976446,11.97928088901901,15.516489899727226,11.695475915418523,-0.5950305562492204,-0.2838049736004873,0.659,same_team_directed_transition,445.9,446.067
96,19,11,team_1,team_1,13399,13443,13445,43,5,8,13.6746231773955,10.928471530896637,16.52621434225509,6.160928193572269,2.8515911648595917,-4.767543337324368,5.555,same_team_directed_transition,446.633,448.1
97,16,35,team_1,team_1,15130,15161,15163,30,5,9,40.00242142250686,3.4812225726954793,41.66308578375595,-0.07057565434309372,1.66066436124909,-3.551798227038573,3.921,same_team_directed_transition,504.333,505.367
98,11,1,team_1,team_1,15291,15293,15295,1,3,4,29.378703979994736,6.308977706830334,28.50795686272895,8.701818592791389,-0.8707471172657861,2.3928408859610544,2.546,same_team_directed_transition,509.7,509.767
99,25,10,team_0,team_0,16821,16826,16828,4,10,91,15.536049496478423,3.177313788828753,16.15837759525601,3.84002031476573,0.6223280987775865,0.6627065259369771,0.909,same_team_directed_transition,560.7,560.867
100,10,1,team_0,team_1,17238,17254,17256,15,3,5,16.048737630206897,3.5358052756655067,16.735527116226514,3.4437443710884206,0.6867894860196166,-0.09206090457708616,0.693,opponent_possession_change,574.6,575.133
101,1,10,team_1,team_0,17258,17259,17261,0,5,43,17.233600237162257,4.595602587216894,17.30643970145636,4.664026799221528,0.07283946429410193,0.06842421200463367,0.1,opponent_possession_change,575.267,575.3
102,10,1,team_0,team_1,17323,17324,17326,0,3,4,20.56844677046392,8.634241742328362,20.650891472215434,8.757855283488482,0.08244470175151619,0.12361354116012002,0.149,opponent_possession_change,577.433,577.467
103,1,2,team_1,team_0,17358,17364,17366,5,7,37,22.605350778156453,11.798307505542182,22.902173649596186,12.372603646085695,0.2968228714397334,0.5742961405435132,0.646,opponent_possession_change,578.6,578.8
104,2,1,team_0,team_1,17400,17401,17403,0,37,6,24.536934623058105,15.245327216649432,24.533688059694647,15.315187835345782,-0.003246563363457966,0.06986061869634952,0.07,opponent_possession_change,580.0,580.033
105,1,2,team_1,team_0,17425,17435,17437,9,3,11,25.87099591158131,16.08579951406984,26.497496407957225,16.232968628818167,0.6265004963759147,0.14716911474832628,0.644,opponent_possession_change,580.833,581.167
106,6,10,team_1,team_0,17815,17841,17843,25,52,4,24.778339861681665,0.746272692478103,24.97368062251604,7.766153561581433,0.19534076083437313,7.01988086910333,7.023,opponent_possession_change,593.833,594.7
107,10,22,team_0,team_0,17855,17856,17858,0,4,4,25.72982655264422,8.286531553486407,25.72298994184744,8.881019307240999,-0.006836610796778331,0.5944877537545921,0.595,same_team_directed_transition,595.167,595.2
108,22,10,team_0,team_0,17859,17860,17862,0,4,4,26.045607275895527,8.689568558190114,26.222155948304632,8.286626353558916,0.17654867240910477,-0.40294220463119856,0.44,same_team_short_or_stationary_transition,595.3,595.333
109,10,11,team_0,team_1,17863,17864,17866,0,4,3,26.70698707764774,7.819515548648473,26.80085426670998,8.053544815520791,0.0938671890622409,0.23402926687231762,0.252,opponent_possession_change,595.433,595.467
110,11,22,team_1,team_0,17866,17867,17869,0,3,5,26.880744985445844,8.360371257984443,26.882175098170517,8.879203610994091,0.0014301127246731937,0.5188323530096479,0.519,opponent_possession_change,595.533,595.567
111,22,5,team_0,team_0,17892,17927,17929,34,4,10,28.01710802198384,11.851614517294747,32.4239017590289,12.42195654073855,4.40679373704506,0.5703420234438035,4.444,same_team_directed_transition,596.4,597.567
112,10,12,team_0,team_0,18152,18197,18199,44,4,19,31.529604586941886,12.658448274716992,35.70118360099936,11.386842593332974,4.171579014057471,-1.2716056813840186,4.361,same_team_directed_transition,605.067,606.567
113,12,13,team_0,team_0,18248,18249,18251,0,11,70,37.72802005371962,14.764907489408438,37.804751348402654,14.766413766620191,0.07673129468303586,0.0015062772117531154,0.077,same_team_short_or_stationary_transition,608.267,608.3
114,1,8,team_1,team_1,18916,18958,18960,41,7,16,23.92319383633871,6.310963043096614,26.9536527278862,7.4791611002354035,3.0304588915474895,1.168198057138789,3.248,same_team_directed_transition,630.533,631.933
115,8,3,team_1,team_1,18973,18974,18976,0,16,4,27.503883558104143,8.287754187724087,27.54267851309037,8.331016231470567,0.038794954986226315,0.04326204374648057,0.058,same_team_short_or_stationary_transition,632.433,632.467
116,1,22,team_1,team_0,19102,19103,19105,0,11,10,28.096694574279205,12.475161348924537,28.122353555186205,12.570908366605838,0.02565898090700003,0.09574701768130112,0.099,opponent_possession_change,636.733,636.767
117,22,20,team_0,team_0,19112,19113,19115,0,10,7,28.391121751558792,13.012754264025213,28.419359454779784,13.079148702051453,0.028237703220991506,0.06639443802624001,0.072,same_team_short_or_stationary_transition,637.067,637.1
118,20,22,team_0,team_0,19119,19120,19122,0,7,6,28.64697234776747,13.3039832987167,28.632890988201762,13.329591891714324,-0.014081359565707885,0.025608592997624413,0.029,same_team_short_or_stationary_transition,637.3,637.333
119,22,20,team_0,team_0,19125,19126,19128,0,6,11,28.887174305305038,13.220458436069535,29.02048970047518,13.18670648526521,0.13331539517014335,-0.03375195080432469,0.138,same_team_short_or_stationary_transition,637.5,637.533
120,20,5,team_0,team_0,19136,19139,19141,2,11,16,29.56029119451386,14.22517400360918,29.6432135811018,14.38708737039777,0.08292238658794204,0.1619133667885908,0.182,same_team_short_or_stationary_transition,637.867,637.967
121,5,19,team_0,team_1,19154,19155,19157,0,16,3,29.72386070444205,15.094877869878845,29.69668990871977,15.150296449559432,-0.02717079572228087,0.0554185796805875,0.062,opponent_possession_change,638.467,638.5
122,8,20,team_1,team_0,20077,20078,20080,0,5,5,9.449824912023656,15.740396889775724,9.866080055475544,15.946876772220659,0.4162551434518882,0.20647988244493476,0.465,opponent_possession_change,669.233,669.267
123,20,1,team_0,team_1,20119,20125,20127,5,5,4,14.520754682996925,14.964306133385898,14.421479082489737,14.379534911262507,-0.09927560050718753,-0.5847712221233916,0.593,opponent_possession_change,670.633,670.833
124,1,20,team_1,team_0,20128,20142,20144,13,4,20,14.306681944485593,14.10673263641353,15.33993381180068,11.961119373435032,1.0332518673150872,-2.1456132629784985,2.381,opponent_possession_change,670.933,671.4
125,20,8,team_0,team_1,20161,20176,20178,14,20,4,16.535367222323078,10.653605148680029,16.745225653042436,9.501430962995654,0.2098584307193576,-1.152174185684375,1.171,opponent_possession_change,672.033,672.533
126,8,20,team_1,team_0,20179,20204,20206,24,4,5,16.507718668218804,9.209077997291244,17.470833018832604,10.401727911581188,0.9631143506138002,1.1926499142899445,1.533,opponent_possession_change,672.633,673.467
127,20,22,team_0,team_0,20228,20229,20231,0,3,4,18.659539847519373,10.35752275380445,18.74888360619698,10.332618114038217,0.08934375867760735,-0.02490463976623225,0.093,same_team_short_or_stationary_transition,674.267,674.3
128,22,8,team_0,team_1,20264,20265,20267,0,5,5,19.610827692236974,9.84424460563446,19.62588210578855,9.82142579220771,0.015054413551574441,-0.022818813426749074,0.027,opponent_possession_change,675.467,675.5
129,20,15,team_0,team_1,20397,20435,20437,37,4,3,29.676999810301773,5.755948772921879,28.43684500129629,4.580790986320343,-1.2401548090054817,-1.1751577866015355,1.709,opponent_possession_change,679.9,681.167
130,15,3,team_1,team_1,20448,20486,20488,37,10,4,28.199544859802437,4.413200096835417,28.237760931778677,3.824404730100443,0.03821607197624033,-0.5887953667349737,0.59,same_team_directed_transition,681.6,682.867
131,25,35,team_0,team_1,20906,20912,20914,5,6,17,38.564884824543505,6.969093721241724,38.96776809843507,6.792879051410975,0.4028832738915682,-0.17621466983074896,0.44,opponent_possession_change,696.867,697.067
132,14,25,team_0,team_0,21175,21177,21179,1,9,6,37.328039245558536,7.570825537753377,37.32168309686423,7.750755520854893,-0.006356148694308672,0.1799299831015162,0.18,same_team_short_or_stationary_transition,705.833,705.9
133,25,13,team_0,team_0,21199,21219,21221,19,9,9,37.006592656425624,7.906245905096106,35.77083492838072,9.139026566894357,-1.2357577280449021,1.2327806617982509,1.746,same_team_directed_transition,706.633,707.3
