transition_id,from_global_id,to_global_id,from_team_id,to_team_id,release_frame_proc,receive_frame_proc,receive_confirmed_frame_proc,transfer_gap_frames,source_evidence_frames,receiver_evidence_frames,start_x_m,start_y_m,end_x_m,end_y_m,dx_m,dy_m,displacement_m,classification,review_classification,review_reason,release_time_seconds,receive_time_seconds
56,20,17,team_0,team_0,6459,6467,6469,7,51,16,21.915791085265734,11.231810691147238,22.263846244186066,11.537617290719645,0.34805515892033156,0.3058065995724064,0.463,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",215.3,215.567
74,14,20,team_0,team_0,11119,11125,11127,5,22,35,22.46204882038486,17.1971439438952,22.138356919622865,17.50530470567744,-0.3236919007619967,0.30816076178223994,0.447,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",370.633,370.833
76,11,19,team_1,team_1,11794,11802,11804,7,5,39,7.694585631342425,13.687021326455575,7.806958618436647,13.914626822940043,0.11237298709422205,0.22760549648446826,0.254,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",393.133,393.4
108,22,10,team_0,team_0,17859,17860,17862,0,4,4,26.045607275895527,8.689568558190114,26.222155948304632,8.286626353558916,0.17654867240910477,-0.40294220463119856,0.44,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",595.3,595.333
151,11,38,team_1,team_1,28001,28002,28004,0,4,3,28.678830999552005,4.689461178997998,28.682047511524058,5.067802652335631,0.003216511972052416,0.3783414733376329,0.378,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",933.367,933.4
164,25,29,team_0,team_0,31229,31244,31246,14,4,4,13.12201703587557,-0.42157712936334246,12.826397388416524,-0.1580385784912245,-0.2956196474590467,0.26353855087211797,0.396,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",1040.967,1041.467
174,17,12,team_0,team_0,33335,33338,33340,2,7,20,28.106105757087345,12.708410302261692,28.39810409927991,12.966759203291502,0.2919983421925636,0.25834890102981056,0.39,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",1111.167,1111.267
197,11,15,team_1,team_1,39746,39752,39754,5,41,4,10.585821672096785,8.647582268071975,10.874034962417307,8.694286046527752,0.2882132903205221,0.04670377845577711,0.292,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",1324.867,1325.067
277,6,16,team_1,team_1,58691,58710,58712,18,15,10,17.733809515327497,6.540313197603189,18.213014821263826,6.601649465863699,0.47920530593632904,0.06133626826050964,0.483,same_team_short_or_stationary_transition,directed_pass_gray_zone,"same_team_stable_transfer; displacement in [0.25,0.5)m; excluded_from_network",1956.367,1957.0
